1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
7196, Heinrich Bullinger [Antistes], p495, 14. August 1567, Stanislaus Myszkowski, p2254
7197, Heinrich Bullinger [Antistes], p495, , Johannes Kiszka, p1806
7198, Heinrich Bullinger [Antistes], p495, 14. August 1567, Andreas Szadkowski, p3108
7199, Heinrich Bullinger [Antistes], p495, 14. August 1567, Simon Zacius (Zak Zasius), p8520
7200, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 14. August 1567, Heinrich Bullinger [Antistes], p495
7201, Heinrich Bullinger [Antistes], p495, 15. August 1567, Tobias Egli (Iconius Götz), p8016
7202, Johannes Pontisella d.Ä., p6130, 18. August 1567, Heinrich Bullinger [Antistes], p495
7203, Matthias Schenck, p2899, 19. August 1567, Heinrich Bullinger [Antistes], p495
7204, Heinrich Bullinger [Antistes], p495, 22. August 1567, Hans Rudolf Bullinger, p477
7205, Richard Hilles, p1548, 23. August 1567, Heinrich Bullinger [Antistes], p495
7206, Johannes Pontisella d.Ä., p6130, 25. August 1567, Heinrich Bullinger [Antistes], p495
7207, Tobias Egli (Iconius Götz), p8016, 25. August 1567, Heinrich Bullinger [Antistes], p495
7208, Joachim Bäldi, p252, 26. August 1567, Heinrich Bullinger [Antistes], p495
7209, Heinrich Bullinger [Antistes], p495, 26. August 1567, Edmund Grindal, p1341
7210, Heinrich Bullinger [Antistes], p495, 26. August 1567, Wilhelm IV. von Hessen (der Weise), p8096
7211, Georg von Stetten d.J., p3740, 26. August 1567, Heinrich Bullinger [Antistes], p495
7212, Pomponne Ier de Bellièvre Sr. de Grignon, p8160, 28. August 1567, Heinrich Bullinger [Antistes], p495
7213, Johannes Haller d.J., p8018, 28. August 1567, Heinrich Bullinger [Antistes], p495
7214, Edmund Grindal, p1341, 29. August 1567, Heinrich Bullinger [Antistes], p495
7215, Heinrich Bullinger [Antistes], p495, 30. August 1567, Hans Rudolf Bullinger, p477
7216, Heinrich Bullinger [Antistes], p495, 1. September 1567, Adolf Wilhelm von Dörnberg, p3498
7217, Friedrich von Salis (a Salize de Salicibus), p8432, 1. September 1567, Heinrich Bullinger [Antistes], p495
7218, Joachim Bäldi, p252, 2. September 1567, Heinrich Bullinger [Antistes], p495
7219, Friedrich von Salis (a Salize de Salicibus), p8432, 2. September 1567, Heinrich Bullinger [Antistes], p495
7220, Théodor de Bèze (Beza), p8033, 5. September 1567, Heinrich Bullinger [Antistes], p495
7221, Théodor de Bèze (Beza), p8033, 6. September 1567, Heinrich Bullinger [Antistes], p495
7222, Scipione Lentolo (Lentulus), p8089, 8. September 1567, Heinrich Bullinger [Antistes], p495
7223, Viktorin Strigel, p3046, 8. September 1567, Heinrich Bullinger [Antistes], p495
7224, Matthias Schenck, p2899, 10. September 1567, Heinrich Bullinger [Antistes], p495
7225, Johannes Haller d.J., p8018, 13. September 1567, Heinrich Bullinger [Antistes], p495
7226, Andreas Jociscus, p1751, 14. September 1567, Heinrich Bullinger [Antistes], p495
7227, Johannes Pontisella d.Ä., p6130, 14. September 1567, Heinrich Bullinger [Antistes], p495
7228, Joachim Bäldi, p252, 16. September 1567, Heinrich Bullinger [Antistes], p495
7229, Georg von Stetten d.J., p3740, 17. September 1567, Heinrich Bullinger [Antistes], p495
7230, Heinrich Bullinger [Antistes], p495, 18. September 1567, Hans Rudolf Bullinger, p477
7231, Johannes Haller d.J., p8018, 18. September 1567, Heinrich Bullinger [Antistes], p495
7232, Petrus Dathenus, p772, 18. September 1567, Heinrich Bullinger [Antistes], p495
7233, Heinrich Bullinger [Antistes], p495, 19. September 1567, Johannes Pontisella d.Ä., p6130
7234, Heinrich Bullinger [Antistes], p495, 19. September 1567, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
7235, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
7236, Thomas Erastus (Lüber), p8075, 21. September 1567, Heinrich Bullinger [Antistes], p495
7237, Jan Gerritszoon Versteghe (Anastasius Veluanus), p8454, 22. September 1567, Heinrich Bullinger [Antistes], p495
7238, Johannes (Jan) a Lasco (Laski), p8041, , Heinrich Bullinger [Antistes], p495
7239, Tobias Egli (Iconius Götz), p8016, 23. September 1567, Heinrich Bullinger [Antistes], p495
7240, Heinrich Bullinger [Antistes], p495, 24. September 1567, Valentin Rebmann (Ampelander), p8052
7241, Wolf (Wolfgang) Haller von Raitenbuch, p8370, 25. September 1567, Heinrich Bullinger [Antistes], p495
7242, Heinrich Bullinger [Antistes], p495, 26. September 1567, Hans Rudolf Bullinger, p477
7243, Georg von Stetten d.J., p3740, 1. Oktober 1567, Heinrich Bullinger [Antistes], p495
7244, Johannes Herter, p1541, 2. Oktober 1567, Heinrich Bullinger [Antistes], p495
7245, Charles du Moulin, p974, 2. Oktober 1567, Heinrich Bullinger [Antistes], p495
7246, Christopher Mont (Mundt), p8121, 2. Oktober 1567, Heinrich Bullinger [Antistes], p495
7247, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 2. Oktober 1567, Heinrich Bullinger [Antistes], p495
7248, Heinrich Bullinger [Antistes], p495, 3. Oktober 1567, Tobias Egli (Iconius Götz), p8016
7249, Matthias Schenck, p2899, 3. Oktober 1567, Heinrich Bullinger [Antistes], p495
7250, Heinrich Bullinger [Antistes], p495, 5. Oktober 1567, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
7251, Tobias Egli (Iconius Götz), p8016, 5. Oktober 1567, Heinrich Bullinger [Antistes], p495
7252, Théodor de Bèze (Beza), p8033, 6. Oktober 1567, Heinrich Bullinger [Antistes], p495
7253, Ulisse Martinengo, p2054, 6. Oktober 1567, Heinrich Bullinger [Antistes], p495
7254, Joachim Bäldi, p252, 8. Oktober 1567, Heinrich Bullinger [Antistes], p495
7255, Heinrich Bullinger [Antistes], p495, 9. Oktober 1567, Tobias Egli (Iconius Götz), p8016
7256, Heinrich Bullinger [Antistes], p495, 9. Oktober 1567, Tobias Egli (Iconius Götz), p8016
7257, Johannes Haller d.J., p8018, 9. Oktober 1567, Heinrich Bullinger [Antistes], p495
7258, Christian Nägeli, p2307, 9. Oktober 1567, Heinrich Bullinger [Antistes], p495
7259, Gabriel Schlüsselberger, p2923, 10. Oktober 1567, Heinrich Bullinger [Antistes], p495
7260, Christopher Mont (Mundt), p8121, 11. Oktober 1567, Heinrich Bullinger [Antistes], p495
7261, Johannes Haller d.J., p8018, 12. Oktober 1567, Heinrich Bullinger [Antistes], p495
7262, Christian Nägeli, p2307, 13. Oktober 1567, Heinrich Bullinger [Antistes], p495
7263, Heinrich Bullinger [Antistes], p495, 13. Oktober 1567, Moritz Schneewolf, p2930
7264, , , , , 
7265, Heinrich Bullinger [Antistes], p495, 15. Oktober 1567, Hans Rudolf Bullinger, p477
7266, Joachim Bäldi, p252, 15. Oktober 1567, Heinrich Bullinger [Antistes], p495
7267, Heinrich Bullinger [Antistes], p495, 17. Oktober 1567, Tobias Egli (Iconius Götz), p8016
7268, Heinrich Bullinger [Antistes], p495, 17. Oktober 1567, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
7269, Joachim Bäldi, p252, 18. Oktober 1567, Heinrich Bullinger [Antistes], p495
7270, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 18. Oktober 1567, Heinrich Bullinger [Antistes], p495
7271, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
7272, Gregor Seebach, p2951, 20. Oktober 1567, , 
7273, Tobias Egli (Iconius Götz), p8016, 21. Oktober 1567, Heinrich Bullinger [Antistes], p495
7274, Friedrich von Salis (a Salize de Salicibus), p8432, 22. Oktober 1567, Heinrich Bullinger [Antistes], p495
7275, Heinrich Bullinger [Antistes], p495, 24. Oktober 1567, Tobias Egli (Iconius Götz), p8016
7276, Théodor de Bèze (Beza), p8033, 26. Oktober 1567, Heinrich Bullinger [Antistes], p495
7277, Heinrich Bullinger [Antistes], p495, 27. Oktober 1567, Tobias Egli (Iconius Götz), p8016
7278, Friedrich III. «der Fromme» Kurfürst von der Pfalz, p8060, 27. Oktober 1567, , 
7279, Pierre de Grantrye, p931, 27. Oktober 1567, Heinrich Bullinger [Antistes], p495
7280, Tobias Egli (Iconius Götz), p8016, 28. Oktober 1567, Heinrich Bullinger [Antistes], p495
7281, Johannes Haller d.J., p8018, 28. Oktober 1567, Heinrich Bullinger [Antistes], p495
7282, Joachim Bäldi, p252, 29. Oktober 1567, Heinrich Bullinger [Antistes], p495
7283, Théodor de Bèze (Beza), p8033, 29. Oktober 1567, Heinrich Bullinger [Antistes], p495
7284, Heinrich Bullinger [Antistes], p495, 1. November 1567, Joachim Bäldi, p252
7285, Heinrich Bullinger [Antistes], p495, November 1567, Joachim Bäldi, p252
7286, Georg von Stetten d.J., p3740, 1. November 1567, Heinrich Bullinger [Antistes], p495
7287, Tobias Egli (Iconius Götz), p8016, , Heinrich Bullinger [Antistes], p495
7288, Johannes Haller d.J., p8018, 3. November 1567, Heinrich Bullinger [Antistes], p495
7289, Tobias Egli (Iconius Götz), p8016, 4. November 1567, Heinrich Bullinger [Antistes], p495
7290, Joachim Bäldi, p252, 5. November 1567, Heinrich Bullinger [Antistes], p495
7291, Heinrich Bullinger [Antistes], p495, 6. November 1567, Hans Rudolf Bullinger, p477
7292, Johannes Haller d.J., p8018, 6. November 1567, Heinrich Bullinger [Antistes], p495
7293, Johannes Haller d.J., p8018, 6. November 1567, Heinrich Bullinger [Antistes], p495
7294, Heinrich Bullinger [Antistes], p495, 7. November 1567, Tobias Egli (Iconius Götz), p8016
7295, Gabriel Schlüsselberger, p2923, 7. November 1567, Heinrich Bullinger [Antistes], p495
7296, Théodor de Bèze (Beza), p8033, 10. November 1567, Heinrich Bullinger [Antistes], p495
7297, Tobias Egli (Iconius Götz), p8016, 10. November 1567, Heinrich Bullinger [Antistes], p495
7298, Hans Liner, p1918, 10. November 1567, Heinrich Bullinger [Antistes], p495
7299, Joachim Bäldi, p252, 11. November 1567, Heinrich Bullinger [Antistes], p495
7300, Johannes Hospinian (Wirth), p8384, 12. November 1567, Heinrich Bullinger [Antistes], p495
7301, Heinrich Bullinger [Antistes], p495, 14. November 1567, Tobias Egli (Iconius Götz), p8016
7302, Tobias Egli (Iconius Götz), p8016, 14. November 1567, Heinrich Bullinger [Antistes], p495
7303, Johannes Haller d.J., p8018, 14. November 1567, Heinrich Bullinger [Antistes], p495
7304, Tobias Egli (Iconius Götz), p8016, 17. November 1567, Heinrich Bullinger [Antistes], p495
7305, Girolamo Zanchi, p4037, 17. November 1567, Heinrich Bullinger [Antistes], p495
7306, Joachim Bäldi, p252, 19. November 1567, Heinrich Bullinger [Antistes], p495
7307, Heinrich Bullinger [Antistes], p495, 21. November 1567, Tobias Egli (Iconius Götz), p8016
7308, Théodor de Bèze (Beza), p8033, , Heinrich Bullinger [Antistes], p495
7309, Tobias Egli (Iconius Götz), p8016, 24. November 1567, Heinrich Bullinger [Antistes], p495
7310, Joachim Bäldi, p252, 26. November 1567, Heinrich Bullinger [Antistes], p495
7311, Heinrich Bullinger [Antistes], p495, 28. November 1567, Tobias Egli (Iconius Götz), p8016
7312, , , 28. November 1567, , 
7313, Johannes Haller d.J., p8018, 29. November 1567, Heinrich Bullinger [Antistes], p495
7314, Heinrich Bullinger [Antistes], p495, 30. November 1567, , 
7315, Georg von Stetten d.J., p3740, 30. November 1567, Heinrich Bullinger [Antistes], p495
7316, Tobias Egli (Iconius Götz), p8016, , Heinrich Bullinger [Antistes], p495
7317, Heinrich Bullinger [Antistes], p495, Dezember 1567, Tobias Egli (Iconius Götz), p8016
7318, Joachim Bäldi, p252, 2. Dezember 1567, Heinrich Bullinger [Antistes], p495
7319, Tobias Egli (Iconius Götz), p8016, 2. Dezember 1567, Heinrich Bullinger [Antistes], p495
7320, Georg von Stetten d.J., p3740, 2. Dezember 1567, Heinrich Bullinger [Antistes], p495
7321, Christoph Bullinger, p475, 3. Dezember 1567, Heinrich Bullinger [Antistes], p495
7322, Heinrich Bullinger [Antistes], p495, 3. Dezember 1567, Hans Rudolf Bullinger, p477
7323, Heinrich Bullinger [Antistes], p495, 3. Dezember 1567, Stephan Zirler (Cirlerus), p8094
7324, Heinrich Bullinger [Antistes], p495, 6. Dezember 1567, Hans Rudolf Bullinger, p477
7325, Heinrich Bullinger [Antistes], p495, 7. Dezember 1567, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
7326, Heinrich Bullinger [Antistes], p495, 12. Dezember 1567, Tobias Egli (Iconius Götz), p8016
7327, Josua Finsler (Vinslerus), p8080, 12. Dezember 1567, Heinrich Bullinger [Antistes], p495
7328, Samuel Tillmann (Telamonius), p8449, 12. Dezember 1567, Heinrich Bullinger [Antistes], p495
7329, Tobias Egli (Iconius Götz), p8016, 12. Dezember 1567, Heinrich Bullinger [Antistes], p495
7330, Tobias Egli (Iconius Götz), p8016, 15. Dezember 1567, Heinrich Bullinger [Antistes], p495
7331, Johann Steiger d.Ä., p8063, 15. Dezember 1567, Heinrich Bullinger [Antistes], p495
7332, Joachim Bäldi, p252, 16. Dezember 1567, Heinrich Bullinger [Antistes], p495
7333, , , 17. Dezember 1567, , 
7334, Johannes Funck, p1234, 17. Dezember 1567, Heinrich Bullinger [Antistes], p495
7335, Théodor de Bèze (Beza), p8033, 18. Dezember 1567, Heinrich Bullinger [Antistes], p495
7336, Heinrich Bullinger [Antistes], p495, 19. Dezember 1567, Tobias Egli (Iconius Götz), p8016
7337, Heinrich Bullinger [Antistes], p495, 19. Dezember 1567, Tobias Egli (Iconius Götz), p8016
7338, Heinrich Bullinger [Antistes], p495, 19. Dezember 1567, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109
7339, Johannes Kessler, p1789, 20. Dezember 1567, Heinrich Bullinger [Antistes], p495
7340, Pomponne Ier de Bellièvre Sr. de Grignon, p8160, 22. Dezember 1567, Heinrich Bullinger [Antistes], p495
7341, Johannes Haller d.J., p8018, 23. Dezember 1567, Heinrich Bullinger [Antistes], p495
7342, Matthias Schenck, p2899, 24. Dezember 1567, Heinrich Bullinger [Antistes], p495
7343, Johannes Haller d.J., p8018, 25. Dezember 1567, Heinrich Bullinger [Antistes], p495
7344, Johannes Haller d.J., p8018, 27. Dezember 1567, Heinrich Bullinger [Antistes], p495
7345, Heinrich Bullinger [Antistes], p495, 28. Dezember 1567, Théodor de Bèze (Beza), p8033
7346, Georg von Stetten d.J., p3740, 28. Dezember 1567, Heinrich Bullinger [Antistes], p495
7347, Tobias Egli (Iconius Götz), p8016, 29. Dezember 1567, Heinrich Bullinger [Antistes], p495
7348, Joachim Bäldi, p252, 30. Dezember 1567, Heinrich Bullinger [Antistes], p495
7349, Théodor de Bèze (Beza), p8033, 30. Dezember 1567, Heinrich Bullinger [Antistes], p495
7350, Christopher Mont (Mundt), p8121, 31. Dezember 1567, Heinrich Bullinger [Antistes], p495
7351, Thomas Erastus (Lüber), p8075, , , 
7352, Heinrich Bullinger [Antistes], p495, , , 
7353, Heinrich Bullinger [Antistes], p495, , Hans Rudolf Bullinger, p477
7354, Heinrich Bullinger [Antistes], p495, , Egenolf von Rappoltstein, p3688
7355, Joachim Bäldi, p252, , Heinrich Bullinger [Antistes], p495
7356, Richard Cox, p672, , Heinrich Bullinger [Antistes], p495
7357, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
7358, Durich (Duri Ulrich) Chiampell (Campell), p8057, 2. Januar 1568, Heinrich Bullinger [Antistes], p495
7359, Tobias Egli (Iconius Götz), p8016, 3. Januar 1568, Heinrich Bullinger [Antistes], p495
7360, Tobias Egli (Iconius Götz), p8016, 4. Januar 1568, Heinrich Bullinger [Antistes], p495
7361, Théodor de Bèze (Beza), p8033, 5. Januar 1568, Heinrich Bullinger [Antistes], p495
7362, Francesco Bonett-Bellinchetti, p8186, 5. Januar 1568, Heinrich Bullinger [Antistes], p495
7363, Joachim Bäldi, p252, 6. Januar 1568, Heinrich Bullinger [Antistes], p495
7364, Johannes Haller d.J., p8018, 7. Januar 1568, Heinrich Bullinger [Antistes], p495
7365, Heinrich Bullinger [Antistes], p495, 9. Januar 1568, Tobias Egli (Iconius Götz), p8016
7366, Josua Finsler (Vinslerus), p8080, 12. Januar 1568, Heinrich Bullinger [Antistes], p495
7367, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 12. Januar 1568, Heinrich Bullinger [Antistes], p495
7368, Joachim Bäldi, p252, 13. Januar 1568, Heinrich Bullinger [Antistes], p495
7369, Tobias Egli (Iconius Götz), p8016, 13. Januar 1568, Heinrich Bullinger [Antistes], p495
7370, Heinrich Bullinger [Antistes], p495, 16. Januar 1568, Tobias Egli (Iconius Götz), p8016
7371, Johannes Hospinian (Wirth), p8384, 18. Januar 1568, Heinrich Bullinger [Antistes], p495
7372, Matthias Erb, p1010, 18. Januar 1568, Heinrich Bullinger [Antistes], p495
7373, Tobias Egli (Iconius Götz), p8016, 19. Januar 1569, Heinrich Bullinger [Antistes], p495
7374, Joachim Bäldi, p252, 20. Januar 1568, Heinrich Bullinger [Antistes], p495
7375, Heinrich Bullinger [Antistes], p495, 22. Januar 1568, Hans Rudolf Bullinger, p477
7376, Heinrich Bullinger [Antistes], p495, 23. Januar 1568, Tobias Egli (Iconius Götz), p8016
7377, Heinrich Bullinger [Antistes], p495, 24. Januar 1568, Bernhard Lindauer, p1915
7378, Heinrich Bullinger [Antistes], p495, 26. Januar 1568, Samuel Josua Kessler, p5449
7379, Heinrich Bullinger [Antistes], p495, 27. Januar 1568, Hans Rudolf Bullinger, p477
7380, Johannes Haller d.J., p8018, 7. Februar 1568, Heinrich Bullinger [Antistes], p495
7381, Johannes Konrad Walder, p3906, 7. Februar 1568, Heinrich Bullinger [Antistes], p495
7382, Georg von Stetten d.J., p3740, 10. Februar 1568, Heinrich Bullinger [Antistes], p495
7383, Heinrich Bullinger [Antistes], p495, 11. Februar 1568, Théodor de Bèze (Beza), p8033
7384, Joachim Bäldi, p252, 13. Februar 1568, Heinrich Bullinger [Antistes], p495
7385, Hans Liner, p1918, 14. Februar 1568, Heinrich Bullinger [Antistes], p495
7386, Wolf (Wolfgang) Haller von Raitenbuch, p8370, 20. Februar 1568, Heinrich Bullinger [Antistes], p495
7387, Gabriel Schlüsselberger, p2923, 20. Februar 1568, Heinrich Bullinger [Antistes], p495
7388, Heinrich Bullinger [Antistes], p495, 22. Februar 1568, Théodor de Bèze (Beza), p8033
7389, Gabriel Schlüsselberger, p2923, 22. Februar 1568, Heinrich Bullinger [Antistes], p495
7390, Joachim Bäldi, p252, 24. Februar 1568, Heinrich Bullinger [Antistes], p495
7391, Théodor de Bèze (Beza), p8033, 24. Februar 1568, Heinrich Bullinger [Antistes], p495
7392, Tobias Egli (Iconius Götz), p8016, 24. Februar 1568, Heinrich Bullinger [Antistes], p495
7393, Hans Liner, p1918, 24. Februar 1568, Heinrich Bullinger [Antistes], p495
7394, Matthias Schenck, p2899, 24. Februar 1568, Heinrich Bullinger [Antistes], p495
7395, Wolfgang (Dr. Wolf) Wissenburg (Wyssemburg Weyssenburger Weissenberg), p8466, 26. Februar 1568, Heinrich Bullinger [Antistes], p495
7396, Heinrich Bullinger [Antistes], p495, 27. Februar 1568, Tobias Egli (Iconius Götz), p8016
7397, Tobias Egli (Iconius Götz), p8016, 27. Februar 1568, Heinrich Bullinger [Antistes], p495
7398, Heinrich Bullinger [Antistes], p495, Februar 1568, Hans Rudolf Bullinger, p477
7399, Girolamo Zanchi, p4037, 28. Februar 1568, Heinrich Bullinger [Antistes], p495
7400, Thomas Erastus (Lüber), p8075, 29. Februar 1568, Heinrich Bullinger [Antistes], p495
7401, Girolamo Zanchi, p4037, 1. März 1568, Heinrich Bullinger [Antistes], p495
7402, Christoph (Krystof) Thretius (Treciusz Trecki Trecy), p8511, 1. März 1568, Heinrich Bullinger [Antistes], p495
7403, Tobias Egli (Iconius Götz), p8016, 2. März 1568, Heinrich Bullinger [Antistes], p495
7404, Stephan Zirler (Cirlerus), p8094, 2. März 1568, Heinrich Bullinger [Antistes], p495
7405, Georg von Stetten d.J., p3740, 3. März 1568, Heinrich Bullinger [Antistes], p495
7406, John Parkhurst, p2473, 4. März 1568, Heinrich Bullinger [Antistes], p495
7407, Heinrich Bullinger [Antistes], p495, 5. März 1568, Tobias Egli (Iconius Götz), p8016
7408, Heinrich Bullinger [Antistes], p495, 6. März 1568, Hans Rudolf Bullinger, p477
7409, Heinrich Bullinger [Antistes], p495, 6. März 1568, Tobias Egli (Iconius Götz), p8016
7410, Hans Liner, p1918, 6. März 1568, Heinrich Bullinger [Antistes], p495
7411, Tobias Egli (Iconius Götz), p8016, 8. März 1568, Heinrich Bullinger [Antistes], p495
7412, Tobias Egli (Iconius Götz), p8016, 11. März 1568, Heinrich Bullinger [Antistes], p495
7413, Egenolf von Rappoltstein, p3688, 12. März 1568, Heinrich Bullinger [Antistes], p495
7414, Tobias Egli (Iconius Götz), p8016, 15. März 1568, Heinrich Bullinger [Antistes], p495
7415, Joachim Bäldi, p252, 16. März 1568, Heinrich Bullinger [Antistes], p495
7416, Théodor de Bèze (Beza), p8033, 16. März 1568, Heinrich Bullinger [Antistes], p495
7417, Heinrich Bullinger [Antistes], p495, 17. März 1568, Lorenz Dürnhofer, p850
7418, Tobias Egli (Iconius Götz), p8016, 17. März 1568, Heinrich Bullinger [Antistes], p495
7419, Heinrich Bullinger [Antistes], p495, 19. März 1568, Tobias Egli (Iconius Götz), p8016
7420, Tobias Egli (Iconius Götz), p8016, 20. März 1568, Heinrich Bullinger [Antistes], p495
7421, Stanislaus Myszkowski, p2254, 21. März 1568, Heinrich Bullinger [Antistes], p495
7422, Hans Liner, p1918, 22. März 1568, Heinrich Bullinger [Antistes], p495
7423, Théodor de Bèze (Beza), p8033, 25. März 1568, Heinrich Bullinger [Antistes], p495
7424, Heinrich Bullinger [Antistes], p495, 26. März 1568, Hans Rudolf Bullinger, p477
7425, Heinrich Bullinger [Antistes], p495, 28. März 1568, Augustin Blarer, p414
7426, Johannes Haller d.J., p8018, 28. März 1568, Heinrich Bullinger [Antistes], p495
7427, Mátyás (Matthias) Thuri (Thurius), p8288, 28. März 1568, Heinrich Bullinger [Antistes], p495
7428, Tobias Egli (Iconius Götz), p8016, 29. März 1568, Heinrich Bullinger [Antistes], p495
7429, Georg von Stetten d.J., p3740, 31. März 1568, Heinrich Bullinger [Antistes], p495
7430, Joachim Bäldi, p252, März 1568, Heinrich Bullinger [Antistes], p495
7431, Heinrich Bullinger [Antistes], p495, 2. April 1568, Tobias Egli (Iconius Götz), p8016
7432, Johannes Haller d.J., p8018, 2. April 1568, Heinrich Bullinger [Antistes], p495
7433, Heinrich Bullinger [Antistes], p495, 5. April 1568, Théodor de Bèze (Beza), p8033
7434, Théodor de Bèze (Beza), p8033, 8. April 1568, Heinrich Bullinger [Antistes], p495
7435, Heinrich Bullinger [Antistes], p495, 9. April 1568, Joachim Bäldi, p252
7436, Heinrich Bullinger [Antistes], p495, 9. April 1568, Tobias Egli (Iconius Götz), p8016
7437, Théodor de Bèze (Beza), p8033, 13. April 1568, Heinrich Bullinger [Antistes], p495
7438, Pawel (Paul) Gilowski, p8010, 16. April 1568, Heinrich Bullinger [Antistes], p495
7439, Thomas Erastus (Lüber), p8075, , Heinrich Bullinger [Antistes], p495
7440, Viktorin Strigel, p3046, 18. April 1568, Heinrich Bullinger [Antistes], p495
7441, Zacharias Ursinus (Beer Bär), p8453, 18. April 1568, Heinrich Bullinger [Antistes], p495
7442, Andreas Szadkowski, p3108, 20. April 1568, Heinrich Bullinger [Antistes], p495
7443, Lorenz Dürnhofer, p850, 21. April 1568, Heinrich Bullinger [Antistes], p495
7444, Tobias Egli (Iconius Götz), p8016, 21. April 1568, Heinrich Bullinger [Antistes], p495
7445, Gregor Thoman, p3143, 21. April 1568, Heinrich Bullinger [Antistes], p495
7446, Johannes Haller d.J., p8018, 22. April 1568, Heinrich Bullinger [Antistes], p495
7447, Heinrich Bullinger [Antistes], p495, 24. April 1568, Hans Rudolf Bullinger, p477
7448, Heinrich Bullinger [Antistes], p495, 25. April 1568, Théodor de Bèze (Beza), p8033
7449, Hans Liner, p1918, 26. April 1568, Heinrich Bullinger [Antistes], p495
7450, Théodor de Bèze (Beza), p8033, 28. April 1568, Heinrich Bullinger [Antistes], p495
7451, Heinrich Bullinger [Antistes], p495, 30. April 1568, Tobias Egli (Iconius Götz), p8016
7452, Ulrich Philipp von Hohensax, p3619, 2. Mai 1568, Heinrich Bullinger [Antistes], p495
7453, Heinrich Bullinger [Antistes], p495, 3. Mai 1568, Théodor de Bèze (Beza), p8033
7454, Heinrich Bullinger [Antistes], p495, 5. Mai 1568, Théodor de Bèze (Beza), p8033
7455, Tobias Egli (Iconius Götz), p8016, 6. Mai 1568, Heinrich Bullinger [Antistes], p495
7456, Matthias Schenck, p2899, 6. Mai 1568, Heinrich Bullinger [Antistes], p495
7457, Heinrich Bullinger [Antistes], p495, 7. Mai 1568, Tobias Egli (Iconius Götz), p8016
7458, Heinrich Bullinger [Antistes], p495, 10. Mai 1568, Tobias Egli (Iconius Götz), p8016
7459, Heinrich Bullinger [Antistes], p495, 10. Mai 1568, Girolamo Zanchi, p4037
7460, Otto von Hövel, p3633, 13. Mai 1568, Heinrich Bullinger [Antistes], p495
7461, Johannes Hospinian (Wirth), p8384, 14. Mai 1568, Heinrich Bullinger [Antistes], p495
7462, Heinrich Bullinger [Antistes], p495, 14. Mai 1568, Tobias Egli (Iconius Götz), p8016
7463, Johann Brandmüller, p8301, 15. Mai 1568, Heinrich Bullinger [Antistes], p495
7464, Josua Finsler (Vinslerus), p8080, 16. Mai 1568, Heinrich Bullinger [Antistes], p495
7465, Daniel Hermann, p1535, 19. Mai 1568, Heinrich Bullinger [Antistes], p495
7466, Heinrich Bullinger [Antistes], p495, 23. Mai 1568, Abraham Musculus (Müsli), p8416
7467, Heinrich Bullinger [Antistes], p495, 25. Mai 1568, Tobias Egli (Iconius Götz), p8016
7468, Tobias Egli (Iconius Götz), p8016, 25. Mai 1568, Heinrich Bullinger [Antistes], p495
7469, Pomponne Ier de Bellièvre Sr. de Grignon, p8160, 27. Mai 1568, Heinrich Bullinger [Antistes], p495
7470, Thomas Erastus (Lüber), p8075, 27. Mai 1568, Heinrich Bullinger [Antistes], p495
7471, Heinrich Bullinger [Antistes], p495, 28. Mai 1568, Tobias Egli (Iconius Götz), p8016
7472, Georg von Stetten d.J., p3740, 28. Mai 1568, Heinrich Bullinger [Antistes], p495
7473, Tobias Egli (Iconius Götz), p8016, 31. Mai 1568, Heinrich Bullinger [Antistes], p495
7474, Jörg Gerlach, p1282, 31. Mai 1568, , 
7475, Johannes Kessler, p1789, Juni 1568, Heinrich Bullinger [Antistes], p495
7476, Durich (Duri Ulrich) Chiampell (Campell), p8057, 2. Juni 1568, Heinrich Bullinger [Antistes], p495
7477, Johannes Haller d.J., p8018, 2. Juni 1568, Heinrich Bullinger [Antistes], p495
7478, Johann Konrad Ulmer (von Ulm ab Ulmis), p8109, 4. Juni 1568, Heinrich Bullinger [Antistes], p495
7479, Heinrich Bullinger [Antistes], p495, 5. Juni 1568, Hans Rudolf Bullinger, p477
7480, Théodor de Bèze (Beza), p8033, 6. Juni 1568, Heinrich Bullinger [Antistes], p495
7481, David Chaillet, p582, 6. Juni 1568, Heinrich Bullinger [Antistes], p495
7482, , , , Heinrich Bullinger [Antistes], p495
7483, Heinrich Bullinger [Antistes], p495, 7. Juni 1568, Théodor de Bèze (Beza), p8033
7484, Heinrich Bullinger [Antistes], p495, 7. Juni 1568, Lorenz Dürnhofer, p850
7485, Friedrich von Salis (a Salize de Salicibus), p8432, 7. Juni 1568, Heinrich Bullinger [Antistes], p495
